BuildingType;PrimaryPropertyType;Neighborhood;YearBuilt;NumberofBuildings;NumberofFloors;PropertyGFATotal;PropertyGFAParking;PropertyGFABuilding(s);LargestPropertyUseType;LargestPropertyUseTypeGFA;SecondLargestPropertyUseType;SecondLargestPropertyUseTypeGFA;ThirdLargestPropertyUseType;ThirdLargestPropertyUseTypeGFA;ENERGYSTARScore;SiteEUI(kBtu/sf);SiteEUIWN(kBtu/sf);SourceEUI(kBtu/sf);SourceEUIWN(kBtu/sf);SiteEnergyUse(kBtu);SiteEnergyUseWN(kBtu);SteamUse(kBtu);Electricity(kWh);Electricity(kBtu);NaturalGas(therms);NaturalGas(kBtu);TotalGHGEmissions;GHGEmissionsIntensity
Campus;Mixed Use Property;DOWNTOWN;1913;3.0;10;258497;0;258497;Parking;155000.0;Office;145594.0;Retail Store;103200.0;;77.30000305;80.09999847;214.6000061;218.0;20779796.0;21536130.0;3902781.25;4946369.5;16877013.0;0.0;0.0;418.9;1.62
NonResidential;Retail Store;DOWNTOWN;1929;1.0;8;861702;0;861702;Retail Store;509342.0;Other;380639.0;none;0.0;;19.89999962;19.89999962;56.0;56.0;17666646.0;17666646.0;2927935.25;4319154.5;14736955.0;17.52666664;1753.0;328.83;0.38
NonResidential;Other;EAST;1999;1.0;5;206950;97400;109550;Other;206950.0;none;0.0;none;0.0;;93.19999695;92.30000305;277.5;272.7000122;19295226.0;19105426.0;1631750.25;5176868.5;17663475.0;0.0;0.0;249.09;1.2
NonResidential;Other;EAST;1988;1.0;9;46710;0;46710;Urgent Care/Clinic/Other Outpatient;46710.0;none;0.0;none;0.0;;89.30000305;95.09999847;220.3000031;229.6000061;4169431.5;4439795.5;1447314.625;797806.6875;2722116.0;0.0;0.0;130.69;2.8
NonResidential;Medical Office;EAST;1945;1.0;3;266000;104000;162000;Medical Office;162000.0;Parking;104000.0;none;0.0;65.0;85.90000153;86.5;244.1999969;244.8000031;13911761.0;14009703.0;476741.8125;3488557.5;11902958.0;15320.58984;1532059.0;201.15;0.76
NonResidential;Medical Office;EAST;1992;1.0;14;690158;407795;282363;Medical Office;270384.0;Parking;270383.0;none;0.0;58.0;78.19999695;78.19999695;245.6999969;245.6999969;21156670.0;21156670.0;0.0;6200665.0;21156669.0;0.0;0.0;147.49;0.21
NonResidential;Mixed Use Property;LAKE UNION;2001;1.0;6;378443;177660;200783;Parking;164332.0;Office;108781.0;Data Center;54184.0;100.0;283.7000122;283.7000122;874.0999756;874.0999756;55073120.0;55073120.0;0.0;15681864.0;53506520.0;15665.93945;1566594.0;456.22;1.21
NonResidential;Mixed Use Property;LAKE UNION;2001;1.0;6;213834;104922;108912;Parking;104922.0;Data Center;54385.0;Office;37721.0;100.0;707.2999878;707.2999878;2217.800049;2217.800049;75073888.0;75073888.0;0.0;21957020.0;74917352.0;1565.25;156525.0;530.59;2.48
NonResidential;Hotel;LAKE UNION;1979;1.0;5;109017;29409;79608;Hotel;109017.0;none;0.0;none;0.0;34.0;86.90000153;89.0;199.1000061;205.8000031;9474745.0;9707963.0;0.0;1648708.875;5625395.0;38493.49609;3849350.0;243.66;2.24
NonResidential;Large Office;MAGNOLIA / QUEEN ANNE;1981;1.0;5;275734;38452;237282;Office;228504.0;Parking;47404.0;none;0.0;77.0;71.69999695;71.69999695;225.0;225.0;16373232.0;16373232.0;0.0;4798719.0;16373229.0;0.0;0.0;114.14;0.41
NonResidential;Warehouse;GREATER DUWAMISH;2001;1.0;1;123061;0;123061;Non-Refrigerated Warehouse;123061.0;none;0.0;none;0.0;59.0;16.20000076;16.20000076;50.70000076;50.70000076;1987934.625;1987934.625;0.0;582630.1875;1987934.0;0.0;0.0;13.86;0.11
NonResidential;Distribution Center;GREATER DUWAMISH;1963;1.0;1;59090;0;59090;Distribution Center;40272.0;Office;18818.0;none;0.0;45.0;46.59999847;53.40000153;71.40000153;78.90000153;2756214.75;3153949.5;0.0;185927.7969;634386.0;21218.28906;2121829.0;117.11;1.98
NonResidential;Warehouse;GREATER DUWAMISH;1963;1.0;1;106000;0;106000;Non-Refrigerated Warehouse;106001.0;none;0.0;none;0.0;93.0;7.199999809;7.199999809;22.60000038;22.60000038;763364.5;763364.5;0.0;223729.2969;763364.0;0.0;0.0;5.32;0.05
NonResidential;Large Office;LAKE UNION;1962;1.0;3;158600;38400;120200;Office;125779.0;Parking;32821.0;Laboratory;20000.0;19.0;125.5999985;126.6999969;360.3999939;361.6000061;18309150.0;18471858.0;0.0;4672048.0;15941028.0;23681.20117;2368120.0;236.9;1.49
NonResidential;Distribution Center;GREATER DUWAMISH;1960;1.0;1;119661;0;119661;Distribution Center;118733.0;none;0.0;none;0.0;97.0;6.5;6.5;20.5;20.5;775729.1875;775864.1875;0.0;227129.2969;774965.0;7.638800144;764.0;5.44;0.05
NonResidential;Large Office;LAKE UNION;2001;1.0;7;139200;44728;94472;Office;82098.0;none;0.0;none;0.0;81.0;52.90000153;52.90000153;166.1000061;166.1000061;4342597.0;4342597.0;0.0;1272742.25;4342597.0;0.0;0.0;30.27;0.22
NonResidential;Small- and Mid-Sized Office;MAGNOLIA / QUEEN ANNE;1984;1.0;6;95721;33921;61800;Office;95721.0;Parking;31746.0;none;0.0;95.0;32.0;33.0;100.5;103.5;3063504.5;3155171.75;0.0;897861.6875;3063504.0;0.0;0.0;21.36;0.22
NonResidential;Large Office;MAGNOLIA / QUEEN ANNE;1996;2.0;5;213283;115228;98055;Office;105563.0;Parking;0.0;none;0.0;83.0;53.59999847;53.59999847;168.3999939;168.3999939;5661689.5;5661689.5;0.0;1659346.125;5661689.0;0.0;0.0;39.47;0.19
NonResidential;Large Office;LAKE UNION;2001;1.0;3;103697;47656;56041;Office;63199.0;none;0.0;none;0.0;7.0;179.1000061;184.6999969;350.2999878;356.1000061;11319836.0;11672252.0;0.0;1437351.5;4904243.0;64155.92188;6415592.0;374.92;3.62
NonResidential;Small- and Mid-Sized Office;NORTH;1974;1.0;5;74880;0;74880;Office;71751.0;Parking;0.0;none;0.0;56.0;71.59999847;77.09999847;224.6999969;242.1000061;5134607.5;5531460.0;0.0;1504867.25;5134607.0;0.0;0.0;35.8;0.48
NonResidential;Small- and Mid-Sized Office;NORTH;1979;1.0;6;88774;0;88774;Office;85339.0;Parking;0.0;none;0.0;53.0;70.59999847;74.40000153;221.8000031;233.8000031;6029121.5;6353294.0;0.0;1767034.25;6029121.0;0.0;0.0;42.03;0.47
NonResidential;Large Office;NORTH;1983;1.0;5;122250;0;122250;Office;91281.0;Adult Education;30177.0;Bank Branch;5931.0;93.0;43.5;43.5;136.3999939;136.3999939;5535626.0;5535626.0;0.0;1622399.0;5535625.0;0.0;0.0;38.59;0.32
NonResidential;Small- and Mid-Sized Office;NORTH;1979;1.0;4;53730;0;53730;Office;53730.0;Parking;0.0;none;0.0;20.0;88.30000305;88.30000305;277.2000122;277.2000122;4742869.0;4742869.0;0.0;1390055.25;4742869.0;0.0;0.0;33.06;0.62
NonResidential;Small- and Mid-Sized Office;DELRIDGE;1960;1.0;3;55593;0;55593;Office;55593.0;none;0.0;none;0.0;55.0;76.0;79.40000153;186.6999969;190.1999969;4224872.5;4414587.0;0.0;833103.5;2842549.0;13823.23047;1382323.0;93.23;1.68
NonResidential;Large Office;LAKE UNION;1982;1.0;4;134056;60960;73096;Office;72066.0;Parking;59137.0;none;0.0;54.0;65.19999695;68.0;204.6000061;213.5;4695139.0;4899096.0;0.0;1376066.25;4695138.0;0.0;0.0;32.73;0.24
NonResidential;Retail Store;GREATER DUWAMISH;2005;1.0;1;158415;0;158415;Retail Store;158415.0;none;0.0;none;0.0;25.0;141.3999939;147.0;358.6000061;364.5;22394416.0;23293664.0;0.0;4668122.5;15927634.0;64667.80469;6466780.0;454.49;2.87
NonResidential;Large Office;LAKE UNION;1929;1.0;8;287819;0;287819;Office;155985.0;Data Center;88350.0;Other;15630.0;;176.0;174.6000061;550.7000122;545.9000244;48406556.0;48037000.0;0.0;14113435.0;48155040.0;2515.109863;251511.0;349.07;1.21
NonResidential;Other;EAST;1975;1.0;8;158738;0;158738;Urgent Care/Clinic/Other Outpatient;158738.0;none;0.0;none;0.0;;389.1000061;385.6000061;1026.599976;1001.0;61762380.0;61214744.0;5650343.5;13636758.0;46528618.0;95718.15625;9571816.0;1268.87;7.99
NonResidential;Small- and Mid-Sized Office;MAGNOLIA / QUEEN ANNE;1985;1.0;4;86995;28800;58195;Office;58195.0;Parking;28800.0;none;0.0;81.0;51.40000153;51.90000153;161.3999939;162.8000031;2991674.75;3018140.75;0.0;876809.625;2991674.0;0.0;0.0;20.86;0.24
NonResidential;Retail Store;BALLARD;1999;1.0;1;164437;0;164437;Retail Store;102653.0;Supermarket/Grocery Store;74102.0;Parking;0.0;62.0;104.0;107.6999969;276.0;278.0;18390344.0;19031574.0;0.0;4132326.75;14099499.0;42908.43359;4290843.0;326.18;1.98
NonResidential;Large Office;LAKE UNION;2009;1.0;5;184482;66234;118248;Office;118016.0;Parking;66234.0;Other;1595.0;95.0;47.40000153;49.09999847;148.5;153.6000061;5671256.0;5869476.5;0.0;1656231.0;5651060.0;201.9499969;20195.0;40.47;0.22
NonResidential;Laboratory;LAKE UNION;1928;1.0;3;55200;0;55200;Laboratory;54880.0;Data Center;320.0;none;0.0;;210.0;218.6999969;504.5;509.0;11594121.0;12072969.0;0.0;2198235.0;7500378.0;40937.42188;4093742.0;269.71;4.89
NonResidential;Laboratory;LAKE UNION;2003;1.0;4;241159;111793;129366;Laboratory;176171.0;none;0.0;none;0.0;;191.3999939;197.1999969;442.7999878;449.0;33713876.0;34746128.0;0.0;5975651.5;20388923.0;133249.5156;13324952.0;849.83;3.52
NonResidential;Large Office;LAKE UNION;2004;1.0;6;139282;52582;86700;Office;79384.0;Parking;52582.0;Financial Office;3027.0;96.0;37.29999924;37.29999924;117.3000031;117.3000031;3238216.0;3238216.0;0.0;949066.6875;3238216.0;0.0;0.0;22.57;0.16
NonResidential;Large Office;LAKE UNION;2009;1.0;5;271071;98700;172371;Office;168132.0;Parking;96918.0;Medical Office;16862.0;96.0;42.40000153;43.0;131.5;133.3000031;7851334.5;7960023.0;0.0;2255357.5;7695280.0;1560.540039;156054.0;61.93;0.23
NonResidential;Warehouse;LAKE UNION;1914;1.0;5;127800;0;127800;Non-Refrigerated Warehouse;127800.0;none;0.0;none;0.0;56.0;21.70000076;22.0;64.40000153;64.69999695;2767491.0;2811924.5;0.0;746069.875;2545590.0;2219.0;221900.0;29.53;0.23
NonResidential;Large Office;LAKE UNION;2002;1.0;5;560516;206597;353919;Office;372503.0;Parking;189133.0;none;0.0;71.0;80.80000305;81.59999847;202.1999969;200.6000061;30083496.0;30401640.0;0.0;6132058.5;20922584.0;91609.10156;9160910.0;632.4;1.13
NonResidential;Large Office;LAKE UNION;2001;1.0;6;226592;95000;131592;Office;131592.0;Parking;83178.0;none;0.0;49.0;90.90000153;89.80000305;281.6000061;278.0;11963428.0;11812678.0;0.0;3434879.5;11719809.0;2436.178711;243618.0;94.64;0.42
Campus;Other;LAKE UNION;1997;1.0;5;535947;0;535947;Other;535947.0;Parking;103983.0;none;0.0;;245.1000061;255.8000031;509.3999939;515.5999756;131373880.0;137106112.0;0.0;18941222.0;64627449.0;667464.25;66746425.0;3995.45;7.45
NonResidential;Mixed Use Property;LAKE UNION;2003;1.0;5;159700;50654;109046;Other;72407.0;Parking;49314.0;Office;37406.0;;270.3999939;275.1000061;650.5999756;655.5;31371618.0;31915486.0;0.0;5965944.5;20355803.0;110158.125;11015812.0;726.96;4.55
NonResidential;Large Office;LAKE UNION;2006;1.0;4;209816;73673;136143;Office;113803.0;Parking;79091.0;Fitness Center/Health Club/Gym;15803.0;97.0;51.0;51.0;135.1999969;135.1999969;6917478.5;6917478.5;0.0;1554456.625;5303806.0;16136.71973;1613672.0;122.68;0.58
NonResidential;Large Office;LAKE UNION;2006;1.0;6;303103;109905;193198;Office;178628.0;Parking;99368.0;Bank Branch;6015.0;97.0;40.70000076;40.90000153;123.6999969;123.9000015;7519466.5;7554767.0;0.0;2094799.75;7147457.0;3720.090332;372009.0;69.59;0.23
NonResidential;Mixed Use Property;LAKE UNION;1954;1.0;3;67380;0;67380;Non-Refrigerated Warehouse;29732.0;Office;17372.0;Other - Entertainment/Public Assembly;13639.0;66.0;42.09999847;46.79999924;94.19999695;99.19999695;2755829.0;3066491.25;0.0;459033.0938;1566221.0;11896.08008;1189608.0;74.1;1.1
NonResidential;Laboratory;LAKE UNION;1963;1.0;4;102235;0;102235;Laboratory;103135.0;none;0.0;none;0.0;;236.5;241.5;559.5;559.7000122;24395228.0;24903228.0;0.0;4500367.5;15355254.0;90399.71875;9039972.0;587.16;5.74
NonResidential;Mixed Use Property;LAKE UNION;2008;1.0;5;436497;153684;282813;Laboratory;175364.0;Parking;173235.0;Office;88901.0;;171.1999969;180.1999969;417.0;427.6000061;45252356.0;47629656.0;0.0;8790355.0;29992691.0;152596.625;15259662.0;1019.53;2.34
NonResidential;Small- and Mid-Sized Office;MAGNOLIA / QUEEN ANNE;1974;1.0;5;88062;20826;67236;Office;64752.0;Parking;21396.0;none;0.0;80.0;52.70000076;55.0;165.6000061;172.6000061;3415561.25;3558562.5;0.0;1001043.625;3415561.0;0.0;0.0;23.81;0.27
NonResidential;Small- and Mid-Sized Office;MAGNOLIA / QUEEN ANNE;1972;1.0;5;87178;20416;66762;Office;66648.0;Parking;15167.0;none;0.0;69.0;54.5;57.59999847;171.1000061;180.8000031;3632613.75;3838006.75;0.0;1064658.125;3632614.0;0.0;0.0;25.32;0.29
NonResidential;Small- and Mid-Sized Office;MAGNOLIA / QUEEN ANNE;1970;1.0;5;87178;20416;66762;Office;66747.0;Parking;28285.0;none;0.0;86.0;52.29999924;55.5;164.3000031;174.3000031;3493093.75;3705629.0;0.0;1023767.125;3493093.0;0.0;0.0;24.35;0.28
NonResidential;Medical Office;NORTHEAST;1988;1.0;4;196749;88405;108344;Medical Office;108344.0;Parking;88405.0;none;0.0;5.0;176.8999939;182.0;411.5;416.2999878;19165116.0;19718338.0;0.0;3430113.5;11703547.0;74615.66406;7461566.0;477.87;2.43
NonResidential;Medical Office;NORTHEAST;1994;1.0;4;191276;95281;95995;Medical Office;95995.0;none;0.0;none;0.0;21.0;87.69999695;87.69999695;266.3999939;266.3999939;8422861.0;8422861.0;0.0;2346217.25;8005293.0;4175.669922;417567.0;77.99;0.41
NonResidential;Self-Storage Facility;BALLARD;1946;2.0;2;111445;0;111445;;;none;0.0;none;0.0;;47.79999924;51.0;103.0;106.4000015;5697472.5;6076957.0;0.0;881452.0;3007514.0;26899.58203;2689958.0;163.83;1.47
NonResidential;Warehouse;SOUTHWEST;1997;1.0;4;98475;0;98475;Non-Refrigerated Warehouse;98475.0;none;0.0;none;0.0;83.0;11.10000038;12.0;27.89999962;28.89999962;1090496.625;1178591.625;0.0;225380.0;768997.0;3215.0;321500.0;22.44;0.23
NonResidential;Hospital;LAKE UNION;2000;1.0;7;351530;150455;201075;Hospital (General Medical & Surgical);215602.0;none;0.0;none;0.0;23.0;198.1000061;200.3000031;467.6000061;465.1000061;42709624.0;43178016.0;0.0;7849323.5;26781892.0;159277.2813;15927728.0;1032.63;2.94
NonResidential;Supermarket / Grocery Store;NORTH;1995;1.0;2;308965;187878;121087;Supermarket/Grocery Store;121087.0;Parking;0.0;Parking;0.0;78.0;119.9000015;122.5999985;310.2000122;310.8999939;14512786.0;14843382.0;0.0;3130371.0;10680826.0;38319.58594;3831959.0;277.98;0.9
NonResidential;Supermarket / Grocery Store;GREATER DUWAMISH;2008;1.0;1;63225;0;63225;Supermarket/Grocery Store;63225.0;none;0.0;none;0.0;100.0;103.1999969;103.1999969;323.8999939;323.8999939;6522551.5;6522551.5;0.0;1911650.25;6522551.0;0.0;0.0;45.47;0.72
Nonresidential COS;Other;DELRIDGE;1955;0.0;1;113780;0;113780;Other - Services;91532.0;Office;22248.0;none;0.0;;31.39999962;35.29999924;60.0;64.09999847;3574542.25;4021869.0;0.0;431091.6875;1470885.0;21036.57031;2103657.0;121.98;1.07
NonResidential;Warehouse;GREATER DUWAMISH;1999;1.0;1;243044;0;243044;Non-Refrigerated Warehouse;325424.0;none;0.0;none;0.0;100.0;4.300000191;4.300000191;9.0;9.0;1396082.25;1396082.25;0.0;205444.5938;700977.0;6951.050293;695105.0;41.8;0.17
NonResidential;Other;LAKE UNION;2001;1.0;3;280252;156312;123940;Parking;156312.0;Office;116440.0;Retail Store;7500.0;;93.0;93.0;291.8999939;291.8999939;11521702.0;11521702.0;0.0;3376817.5;11521701.0;0.0;0.0;80.32;0.29
NonResidential;Other;MAGNOLIA / QUEEN ANNE;1952;1.0;3;66462;12998;53464;Other;72000.0;Parking;15000.0;none;0.0;;95.5;95.5;299.8999939;299.8999939;6876439.5;6876439.5;0.0;2015368.75;6876438.0;0.0;0.0;47.94;0.72
NonResidential;Retail Store;NORTHWEST;1997;1.0;1;131387;0;131387;Retail Store;107931.0;none;0.0;none;0.0;72.0;81.30000305;82.90000153;234.5;234.0;8773058.0;8949319.0;0.0;2258064.0;7704514.0;10685.42188;1068542.0;110.46;0.84
NonResidential;Warehouse;NORTHWEST;1999;1.0;3;94400;0;94400;Non-Refrigerated Warehouse;67155.0;none;0.0;none;0.0;38.0;11.69999981;11.89999962;33.5;33.70000076;784364.5;800622.875;0.0;199550.0;680865.0;1035.000122;103500.0;10.24;0.11
NonResidential;Other;NORTHWEST;1964;6.0;1;111900;0;111900;Strip Mall;124231.0;Parking;0.0;none;0.0;;79.0;81.09999847;190.5;193.0;9814820.0;10079993.0;0.0;1872845.375;6390148.0;34246.69922;3424670.0;226.43;2.02
NonResidential;Supermarket / Grocery Store;NORTHWEST;1984;0.0;1;144776;0;144776;Wholesale Club/Supercenter;144776.0;none;0.0;none;0.0;56.0;92.69999695;95.5;246.1999969;249.1000061;13424079.0;13827966.0;0.0;3020895.5;10307295.0;31167.82617;3116783.0;237.39;1.64
NonResidential;Retail Store;NORTHWEST;1967;1.0;1;114000;0;114000;Retail Store;57805.0;Supermarket/Grocery Store;56312.0;none;0.0;79.0;150.8999939;150.8999939;302.0;302.0;17225444.0;17225444.0;0.0;2296774.5;7836595.0;93888.48438;9388848.0;553.27;4.85
NonResidential;Supermarket / Grocery Store;NORTHWEST;1997;1.0;1;50083;0;50083;Supermarket/Grocery Store;50065.0;Parking;0.0;none;0.0;78.0;173.0;177.8000031;454.2000122;459.2000122;8663691.0;8901074.0;0.0;1913361.75;6528390.0;21353.00195;2135300.0;158.92;3.17
NonResidential;Large Office;LAKE UNION;1988;1.0;3;124071;28645;95426;Office;96504.0;none;0.0;none;0.0;73.0;51.70000076;51.70000076;162.3999939;162.3999939;4991360.5;4991360.5;0.0;1462254.125;4989211.0;21.48999977;2149.0;34.9;0.28
NonResidential;Small- and Mid-Sized Office;LAKE UNION;2000;1.0;4;90000;36528;53472;Office;90000.0;none;0.0;none;0.0;84.0;43.29999924;43.29999924;136.0;136.0;3897738.0;3897738.0;0.0;1142361.5;3897737.0;0.0;0.0;27.17;0.3
NonResidential;Small- and Mid-Sized Office;LAKE UNION;2001;1.0;3;96041;33709;62332;Office;62232.0;Parking;33709.0;none;0.0;70.0;87.0;87.0;273.1000061;273.1000061;5413418.0;5413418.0;0.0;1586581.875;5413417.0;0.0;0.0;37.74;0.39
NonResidential;Large Office;LAKE UNION;1999;1.0;3;280957;114829;166128;Office;152579.0;Parking;93893.0;Data Center;7500.0;96.0;68.69999695;68.69999695;211.3000031;211.3000031;11325513.0;11325513.0;0.0;3219974.5;10986553.0;3366.104004;336610.0;94.47;0.34
NonResidential;Large Office;LAKE UNION;1999;1.0;4;243334;103032;140302;Office;138995.0;Parking;24549.0;none;0.0;89.0;62.20000076;62.20000076;187.3999939;187.3999939;8651835.0;8651835.0;0.0;2378856.0;8116657.0;5351.779785;535178.0;85.01;0.35
NonResidential;Mixed Use Property;DOWNTOWN;1991;1.0;6;154660;0;154660;Other - Entertainment/Public Assembly;119815.0;Other - Recreation;63101.0;Social/Meeting Hall;26380.0;;209.3000031;212.3999939;519.0;522.7000122;52960796.0;53734196.0;17548416.0;10239394.0;34936812.0;4755.599609;475560.0;1623.34;10.5
NonResidential;Large Office;GREATER DUWAMISH;1982;1.0;5;390295;121375;268920;Office;243018.0;Parking;108408.0;none;0.0;95.0;31.60000038;31.60000038;99.30000305;99.30000305;7683885.0;7683885.0;0.0;2252017.5;7683884.0;0.0;0.0;53.57;0.14
NonResidential;Warehouse;GREATER DUWAMISH;1967;1.0;2;90000;0;90000;Non-Refrigerated Warehouse;70000.0;Office;20000.0;none;0.0;87.0;15.89999962;16.29999924;46.20000076;46.70000076;1429146.375;1468317.375;0.0;373072.1875;1272922.0;1562.23999;156224.0;17.17;0.19
NonResidential;Retail Store;GREATER DUWAMISH;1966;1.0;1;50200;0;50200;Retail Store;50200.0;none;0.0;none;0.0;;20.89999962;23.79999924;43.0;46.09999847;1047461.0;1193084.5;0.0;148728.2969;507461.0;5400.0;540000.0;32.22;0.64
NonResidential;Small- and Mid-Sized Office;BALLARD;1925;1.0;6;94033;6200;87833;Office;53993.0;Retail Store;24744.0;Parking;4500.0;;56.59999847;60.20000076;130.8999939;134.5;4758198.0;5055586.0;0.0;841456.8125;2871051.0;18871.4707;1887147.0;120.24;1.28
NonResidential;Warehouse;BALLARD;1941;1.0;2;63240;0;63240;Non-Refrigerated Warehouse;63240.0;none;0.0;none;0.0;100.0;3.599999905;4.300000191;6.599999905;7.400000095;227566.7031;272913.6875;0.0;25031.90039;85409.0;1421.580078;142158.0;8.15;0.13
NonResidential;Other;BALLARD;2008;1.0;5;322869;182454;140415;Parking;182454.0;Retail Store;130744.0;none;0.0;;130.6999969;134.8000031;308.3999939;312.7000122;17085344.0;17628306.0;0.0;3138366.25;10708106.0;63772.37891;6377238.0;413.35;1.28
NonResidential;Self-Storage Facility;MAGNOLIA / QUEEN ANNE;1988;1.0;4;130293;23400;106893;Self-Storage Facility;130293.0;Parking;8800.0;none;0.0;;3.599999905;3.599999905;11.19999981;11.19999981;465533.3125;465533.3125;0.0;136440.0;465533.0;0.0;0.0;3.25;0.02
NonResidential;Warehouse;MAGNOLIA / QUEEN ANNE;1997;1.0;4;106041;0;106041;Non-Refrigerated Warehouse;106041.0;none;0.0;none;0.0;94.0;10.60000038;11.80000019;25.70000076;27.0;1123943.0;1254908.5;0.0;216689.0;739343.0;3845.999756;384600.0;25.58;0.24
NonResidential;Self-Storage Facility;MAGNOLIA / QUEEN ANNE;1956;1.0;3;94470;0;94470;Self-Storage Facility;94470.0;none;0.0;none;0.0;;10.60000038;12.60000038;20.70000076;22.89999962;1000796.875;1187738.375;0.0;126863.7031;432859.0;5679.380371;567938.0;33.18;0.35
NonResidential;Large Office;DOWNTOWN;2002;1.0;10;181694;38186;143508;Office;150840.0;Parking;26946.0;Other;2155.0;88.0;49.90000153;50.90000153;156.8000031;159.6999969;7637986.0;7783714.5;0.0;2238565.5;7637985.0;0.0;0.0;53.25;0.29
NonResidential;Warehouse;GREATER DUWAMISH;1966;1.0;1;22780;0;22780;Non-Refrigerated Warehouse;22780.0;none;0.0;none;0.0;33.0;17.60000038;17.60000038;55.40000153;55.40000153;402051.3125;402051.3125;0.0;117834.5;402051.0;0.0;0.0;2.8;0.12
NonResidential;Distribution Center;GREATER DUWAMISH;1967;1.0;1;124472;0;124472;Distribution Center;124423.0;Parking;0.0;none;0.0;62.0;43.90000153;51.0;65.40000153;72.80000305;5464762.0;6345882.5;0.0;335860.8125;1145957.0;43188.04688;4318805.0;237.36;1.91
NonResidential;Large Office;DOWNTOWN;1970;1.0;22;227556;98556;129000;Office;227556.0;Parking;77887.79688;none;0.0;95.0;37.29999924;39.29999924;117.1999969;123.5;8493420.0;8950688.0;0.0;2489278.75;8493419.0;0.0;0.0;59.21;0.26
NonResidential;Distribution Center;GREATER DUWAMISH;1967;1.0;1;50065;0;50065;Distribution Center;49918.0;Parking;0.0;none;0.0;72.0;30.60000038;35.09999847;67.19999695;71.90000153;1529510.25;1751500.375;0.0;245094.0938;836261.0;6932.489746;693249.0;42.65;0.85
NonResidential;Distribution Center;GREATER DUWAMISH;1969;1.0;1;57540;0;57540;Distribution Center;57540.0;none;0.0;none;0.0;26.0;44.90000153;48.79999924;94.69999695;98.90000153;2582687.0;2808274.75;0.0;384226.5;1310981.0;12717.05957;1271706.0;76.68;1.33
NonResidential;Warehouse;GREATER DUWAMISH;1966;1.0;1;85400;0;85400;Non-Refrigerated Warehouse;85400.0;none;0.0;none;0.0;49.0;18.0;18.0;56.5;56.5;1536998.25;1536998.25;0.0;450468.4063;1536998.0;0.0;0.0;10.72;0.13
NonResidential;Warehouse;GREATER DUWAMISH;1966;1.0;1;55700;0;55700;Non-Refrigerated Warehouse;55700.0;none;0.0;none;0.0;63.0;9.300000191;9.5;29.29999924;29.79999924;519806.0938;528115.6875;0.0;152346.4063;519806.0;0.0;0.0;3.62;0.06
NonResidential;Small- and Mid-Sized Office;GREATER DUWAMISH;1964;1.0;1;53250;0;53250;Office;52759.0;Parking;0.0;none;0.0;96.0;34.0;33.40000153;77.19999695;75.30000305;1794187.25;1760992.25;0.0;307202.0;1048173.0;7460.140137;746014.0;46.93;0.88
NonResidential;Small- and Mid-Sized Office;MAGNOLIA / QUEEN ANNE;1987;1.0;6;78672;28427;50245;Office;78672.0;none;0.0;none;0.0;98.0;27.70000076;28.20000076;79.30000305;79.80000305;2179719.75;2220030.5;0.0;553488.375;1888502.0;2912.170166;291217.0;28.63;0.36
NonResidential;Warehouse;NORTHWEST;1986;1.0;3;64660;0;64660;Non-Refrigerated Warehouse;64660.0;none;0.0;none;0.0;89.0;5.0;5.199999809;13.0;13.10000038;325513.0;333622.5938;0.0;69699.0;237813.0;876.999939;87700.0;6.32;0.1
NonResidential;Mixed Use Property;EAST;1927;1.0;2;75844;19928;55916;Other;28442.0;Office;28441.0;Parking;18961.0;;64.80000305;66.40000153;193.1999969;194.8999939;3684188.5;3774978.5;0.0;998490.875;3406851.0;2773.369873;277337.0;38.48;0.51
NonResidential;Distribution Center;GREATER DUWAMISH;1968;1.0;1;161678;0;161678;Distribution Center;162425.0;none;0.0;none;0.0;25.0;57.59999847;62.09999847;142.0;145.5;9357230.0;10093972.0;0.0;1855803.75;6332002.0;30252.27148;3025227.0;204.81;1.27
NonResidential;Distribution Center;GREATER DUWAMISH;1949;1.0;1;101101;0;101101;Distribution Center;101101.0;none;0.0;none;0.0;1.0;215.6000061;211.1000061;676.5999756;662.5;21795830.0;21341708.0;0.0;6383133.0;21779250.0;165.7700043;16577.0;152.71;1.51
NonResidential;Distribution Center;GREATER DUWAMISH;1980;1.0;1;52613;0;52613;Distribution Center;59504.0;none;0.0;none;0.0;80.0;17.79999924;20.70000076;37.29999924;40.29999924;1061458.25;1231121.75;0.0;154710.5;527872.0;5335.860352;533586.0;32.02;0.61
NonResidential;Other;GREATER DUWAMISH;1940;1.0;1;56608;0;56608;Other;45340.0;Office;11520.0;none;0.0;;89.59999847;92.30000305;250.3999939;251.0;5094197.0;5246590.0;0.0;1246560.375;4253264.0;8409.324219;840932.0;74.31;1.31
NonResidential;Refrigerated Warehouse;GREATER DUWAMISH;1953;1.0;1;104099;0;104099;Refrigerated Warehouse;100000.0;Office;4099.0;Parking;0.0;;170.0;167.3999939;525.5;515.2000122;17695420.0;17427156.0;0.0;5065566.0;17283711.0;4117.050293;411705.0;142.36;1.37
NonResidential;Supermarket / Grocery Store;NORTHWEST;2003;1.0;1;58184;7450;50734;Supermarket/Grocery Store;51722.0;Parking;0.0;none;0.0;41.0;284.5;291.5;620.2000122;627.5999756;14715262.0;15076756.0;0.0;2331899.75;7956442.0;67588.19531;6758820.0;414.43;7.12
